company_id,company_name
890905065,EDATEL S.A.
890923825,COMPAÑIA LATINOAMERICANA DE SOFTWARE SAS - LASC SAS
890923825,COMPAÑIA LATINOAMERICANA DE SOFTWARE SAS
899999115,EMPRESA DE TELECOMUNICACIONES DE SANTAFE DE BOGOTA S.A. ESP.
899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.
899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
900014381,CABLE NET S.A.S.
900014381,CONSTRUCCIONES Y COMUNICACIONES MILENIUM SAS
900022836,@NY PHONE S A ESP
900022836,#¿NOMBRE?
900023231,COMUNICACIONES ESTELARES DE COLOMBIA LTDA
900023231,COMUNICACIONES ESTELARES DE COLOMBIA  S.A.S.
900046468,ZUMA COMUNICACIONES DE COLOMBIA LTDA
900046468,ZumaComunicacionesdeColombiaSA
900047715,CABLE & TV YOPAL SAS
900047715,CABLE Y TV  YOPAL S.A.S. INTERNET INALAMBRICO
900068083,TIERRANET SAS
900068083,TIERRANET S.A.S.
900092385,UNE EPM TELECOMUNICACIONES S.A.
900092385,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.
900103793,SINERGY SOLUCIONES INTEGRALES S.A.S
900103793,SINERGY SOLUCIONES INTEGRALES SAS
900152886,GLOBAL ASOCIADOS S.A.S.
900152886,GLOBAL TELECOMUNICACIONES COLOMBIA S.A.S. E.S.P.
900161298,NET&COM LTDA.
900161298,NET&COM LIMITADA
900163149,SP SISTEMAS PALACIOS LTDA.
900163149,SP SISTEMAS PALACIOS LTDA
900177156,WI-SAT COMUNICACIONES S.A.S.
900177156,WI-SAT COMUNICACIONES LTDA
900195679,FLYWAN S.A.
900195679,GTD COLOMBIA S.A.S.
900217277,SYSTEL COMUNICACIONES CARTAGO S.A.S.
900217277,SYSTEL COMUNICACIÓNES CARTAGO E.U.
900238624,CENTRAL DE SERVICIOS DIGITALES S.A.S.
900238624,CENTRAL DE SERVICIOS DIGITALES EU
900258177,BRASIL TELECOM DE COLOMBIA EMPRESA UNIPERSONAL
900258177,GLOBENET CABOS SUBMARINOS COLOMBIA S.A.S.
900268784,WIRELESS COMMUNICATIONS COLOMBIA SAS
900268784,WIRELESS COMMUNICATIONS COLOMBIA S.A.S. - WIRLCOMM S.A.S.
900281488,TELCOBRAS S.A.S.
900281488,TELCOBRAS S.A.S. E.S.P.
900293959,SISTEMAS LAN Y TELECOMUNICACIONES S.A.S. - SYSLAN
900293959,SISTEMAS LAN Y TELECOMUNICACIONES S.A.S. SYSLAN
900295100,M&M INVERSIONES MORENO S.A.S
900295100,M&M INVERSIONES MORENO SAS
900298747,ACCESS DIGITAL S.A.S
900298747,ACCES DIGITAL SAS
900301184,TELEWEBCOLOMBIA S. A. S.
900301184,TELEWEBCOLOMBIA LTDA
900306608,CONSULTORES EN TECNOLOGIAS DE INFORMACION SAS
900306608,CONSULTORES EN TECNOLOGIAS DE LA INFORMACION SAS
900373099,SOL CABLE VISIÓN SAS E.S.P.
900373099,SOL CABLE VISION SAS E.S.P.
900373099,SOL CABLE VISION S. A. S. - E. S. P.
900377097, GLOB@L SYSTEM WI FI
900377097,GLOB@L SYSTEM WI FI SAS
900380224,STC COMUNICACIONES SAS
900380224,STC COMUNICACIONES S. A. S.
900394588,WIRELESS COMUNICACIONES S.A.S 
900394588,WIRELESS COMUNICACIONES S.A.S.
900447344,JHON JAIRO MESA MESA E INGENIEROS ASOCIADOS SAS  JJMMELECTRONICS S.A.S.
900447344,JJMMELECTRONICS S.A.S.
900455901,NEWCOM INTERNATIONAL INC SUCURSAL COLOMBIA
900455901,SPEEDCAST SUCURSAL COLOMBIA
900516657,COMERCIALIZADORA ENTRETENIMIENTO Y COMUNICACIONES S.A.S.
900516657,COMERCIALIZADORA ENTRETENIMIENTO Y COMUNICACIONES SAS
900538145,SERVICIOS SATELITALES INTEGRADOS S.A.S.
900538145,SERVICIOS SATELITALES INTEGRADOS SAS
900548102,AZTECA COMUNICACIONES COLOMBIA S.A.S
900548102,AZTECA COMUNICACIONES COLOMBIA S A S
900548646,CONEXION DIGITAL EXPRESS SAS
900548646,CONEXION DIGITAL EXPRESS S.A.S
900551084,TV CABLE COLOMBIA SAS COLCABLE
900551084,TV CABLE COLOMBIA SAS - COLCABLE
900552398,CABLE Y TELECOMUNICACIONES DE COLOMBIA CABLETELCO SAS
900552398,CABLE Y TELECOMUNICACIONES DE COLOMBIA S.A.S. CABLETELCO
900552508,DIGIMEDIOS TELEVISION SAS
900552508,DIGIMEDIOS TELEVISION S.A.S.
900593866,THE CLOUD SOLUCIONES INFORMATICAS S.A.S.
900593866,THE CLOUD SOLUCIONES INFORMATICAS S.A.S
900620983,INTERTV SAS
900620983,INTER T.V. S.A.S
900667066,CONSOLTIC SAS
900667066,CONSOLTIC S.A.S.
900710665,JEFFERSON AFE S.A.S
900710665,JEFFERSON AFE SAS
900721901,SARDINATA NETWORKS SAS
900721901,SARDINATA NETWORKS S.A.S.
900724195,BARAK TECNOLOGIA INFORMACION Y COMUNICACIONES SAS
900724195,BARAK TECNOLOGIA INFORMACION Y COMUNICACIONES S.A.S
900757536,"ATYCO - ASESORIAS, TECNOLOGIA Y COMUNICACIONES S.A.S"
900757536,ATYCO-ASESORIAS TECNOLOGIA Y COMUNICACIONES SAS
900807560,RURAL NET TELECOMUNICACIONES S.A.S
900807560,RURAL NET TELECOMUNICACIONES SAS
900813668,AMERICANA DE TECNOLOGÍA Y COMUNICACIONES SAS
900813668,AMERICANA DE TECNOLOGIA Y COMUNICACIONES SAS
900820586,GONZALEZ & CORREDOR INGENIERIA
900820586,GONZALEZ & MARIÑO INGENIERIA EN TELECOMUNICACIONES REDES SISTEMAS Y OBRAS CIVILE
900840250,ELECTROCOMUNICACIONES J&L SAS
900840250,Electrocomunicacions j & L SAS
900874481,DIGICOMS S.A.S
900874481,DIGICOMS SAS
900882448,TECNOLOGIA EN COMUNICACIONES SATELITALES Y TERRESTRES S.A.S
900882448,TECNOLOGIA EN COMUNICACIONES SATELITALES Y TERRESTRES
900887734,CONEXCOL J.F. SAS
900887734,CONEXCOL J.F S.A.S.
900899016,ENLINEA TELECOMUNICACIONES SAS
900899016,ENLINEA TELECOMUNICACIONES S.A.S.
900911760,INGENIERIA EN TELECOMUNICACIONES DEL VALLE S.A.S.
900911760,INGENIERIA EN TELECOMUNICACIONES DEL VALLE S.A.S
900917807,DESARROLLOS Y REDES S.A.S.
900917807,DESARROLLOS Y REDES SAS
900922684,CR.ISP TELECOMUNICATION PROVIDER S.A.S.
900922684,CR.ISP TELECOMUNICATION PROVIDER S.A.S
900923360,NETCOMVILLA SAS
900923360,NETCOMVILLA S.A.S.
900937677,INTERNET AL CAMPO S A S
900937677,INTERNET AL CAMPO S.A.S.
900946829,FCF COMUNICACIONES SAS
900946829,FCF COMUNICACIONES S.A.S.
900973532,SUMA MOVIL S.A.S.
900973532,SUMA MOVIL SAS
900979798,WIFAO COLOMBIA SAS
900979798,WIFAO COLOMBIA S.A.S.
901014185,TELECOMUNICACIONES INGENIERÍA Y MERCADEO S.A.S.
901014185,TELECOMUNICACIONES INGENIERÍA Y MERCADEO S.A.S
901014228,SYSTEM WIFI SAS
901014228,SYSTEM WIFI S.A.S.
901014982,CONEXION TOTAL DE OCCIDENTE SAS
901014982,CONEXION TOTAL DE OCCIDENTE S.A.S
901017921,KIRA ISP S.A.S.
901017921,KIRA ISP S.A.S
901055088,MEGARED COMUNICACIONES S.A.S
901055088,MEGARED COMUNICACIONES S.A.S.
